,C,D,BN,AN,W
12/11/1952,150,150,175,300,300
12/12/1952,150,150,175,300,300
12/13/1952,150,150,175,300,300
12/14/1952,150,150,175,300,300
12/15/1952,150,150,175,300,300
12/16/1952,150,150,175,300,300
12/17/1952,150,150,175,300,300
12/18/1952,150,150,175,300,300
12/19/1952,150,150,175,300,300
12/20/1952,150,150,175,300,300
12/21/1952,150,150,175,300,300
12/22/1952,150,150,175,300,300
12/23/1952,150,150,175,300,300
12/24/1952,150,150,175,300,300
12/25/1952,150,150,175,300,300
12/26/1952,150,150,175,300,300
12/27/1952,150,150,175,300,300
12/28/1952,150,150,175,300,300
12/29/1952,150,150,175,300,300
12/30/1952,150,150,175,300,300
12/31/1952,150,150,175,300,300
1/1/1953,150,150,175,300,300
1/2/1953,150,150,175,300,300
1/3/1953,150,150,175,300,300
1/4/1953,150,150,175,300,300
1/5/1953,150,150,175,300,300
1/6/1953,150,150,175,300,300
1/7/1953,150,150,175,300,300
1/8/1953,150,150,175,300,300
1/9/1953,150,150,175,300,300
1/10/1953,150,150,175,300,300
1/11/1953,150,150,175,300,300
1/12/1953,150,150,175,300,300
1/13/1953,150,150,175,300,300
1/14/1953,150,150,175,300,300
1/15/1953,150,150,175,300,300
1/16/1953,150,150,175,300,300
1/17/1953,150,150,175,300,300
1/18/1953,150,150,175,300,300
1/19/1953,150,150,175,300,300
1/20/1953,150,150,175,300,300
1/21/1953,150,150,175,300,300
1/22/1953,150,150,175,300,300
1/23/1953,150,150,175,300,300
1/24/1953,150,150,175,300,300
1/25/1953,150,150,175,300,300
1/26/1953,150,150,175,300,300
1/27/1953,150,150,175,300,300
1/28/1953,150,150,175,300,300
1/29/1953,150,150,175,300,300
1/30/1953,150,150,175,300,300
1/31/1953,150,150,175,300,300
2/1/1953,150,150,175,300,300
2/2/1953,150,150,175,300,300
2/3/1953,150,150,175,300,300
2/4/1953,150,150,175,300,300
2/5/1953,150,150,175,300,300
2/6/1953,150,150,175,300,300
2/7/1953,150,150,175,300,300
2/8/1953,150,150,175,300,300
2/9/1953,150,150,175,300,300
2/10/1953,150,150,175,300,300
2/11/1953,150,150,175,300,300
2/12/1953,150,150,175,300,300
2/13/1953,150,150,175,300,300
2/14/1953,150,150,175,300,300
2/15/1953,150,150,175,300,300
2/16/1953,150,150,175,300,300
2/17/1953,150,150,175,300,300
2/18/1953,150,150,175,300,300
2/19/1953,150,150,175,300,300
2/20/1953,150,150,175,300,300
2/21/1953,150,150,175,300,300
2/22/1953,150,150,175,300,300
2/23/1953,150,150,175,300,300
2/24/1953,150,150,175,300,300
2/25/1953,150,150,175,300,300
2/26/1953,150,150,175,300,300
2/27/1953,150,150,175,300,300
2/28/1953,150,150,175,300,300
3/1/1953,150,150,175,300,300
3/2/1953,150,150,175,300,300
3/3/1953,150,150,175,300,300
3/4/1953,150,150,175,300,300
3/5/1953,150,150,175,300,300
3/6/1953,150,150,175,300,300
3/7/1953,150,150,175,300,300
3/8/1953,150,150,175,300,300
3/9/1953,150,150,175,300,300
3/10/1953,150,150,175,300,300
3/11/1953,150,150,175,300,300
3/12/1953,150,150,175,300,300
3/13/1953,150,150,175,300,300
3/14/1953,150,150,175,300,300
3/15/1953,150,150,175,300,300
3/16/1953,150,150,175,300,300
3/17/1953,150,150,175,300,300
3/18/1953,150,150,175,300,300
3/19/1953,150,150,175,300,300
3/20/1953,150,150,175,300,300
3/21/1953,150,150,175,300,300
3/22/1953,150,150,175,300,300
3/23/1953,150,150,175,300,300
3/24/1953,150,150,175,300,300
3/25/1953,150,150,175,300,300
3/26/1953,150,150,175,300,300
3/27/1953,150,150,175,300,300
3/28/1953,150,150,175,300,300
3/29/1953,150,150,175,300,300
3/30/1953,150,150,175,300,300
3/31/1953,150,150,175,300,300
4/1/1953,150,150,175,300,300
4/2/1953,150,150,175,300,300
4/3/1953,150,150,175,300,300
4/4/1953,150,150,175,300,300
4/5/1953,150,150,175,300,300
4/6/1953,150,150,175,300,300
4/7/1953,150,150,175,300,300
4/8/1953,150,150,175,300,300
4/9/1953,150,150,175,300,300
4/10/1953,150,150,175,300,300
4/11/1953,150,150,175,300,300
4/12/1953,150,150,175,300,300
4/13/1953,150,150,175,300,300
4/14/1953,150,150,175,300,300
4/15/1953,150,150,175,300,300
4/16/1953,150,150,175,300,300
4/17/1953,150,150,175,300,300
4/18/1953,150,150,175,300,300
4/19/1953,150,150,175,300,300
4/20/1953,150,150,175,300,300
4/21/1953,150,150,175,300,300
4/22/1953,150,150,175,300,300
4/23/1953,150,150,175,300,300
4/24/1953,150,150,175,300,300
4/25/1953,150,150,175,300,300
4/26/1953,150,150,175,300,300
4/27/1953,150,150,175,300,300
4/28/1953,150,150,175,300,300
4/29/1953,150,150,175,300,300
4/30/1953,150,150,175,300,300
5/1/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/2/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/3/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/4/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/5/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/6/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/7/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/8/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
